TITLE,CHANL_NAME,GENRE,W2,W3,W4,W5,W6,W7
낭만닥터김사부2,SBS,드라마,752228,897599,1032272,1196051,1187127,1170235
스토브리그,SBS,드라마,1136457,1219244,701411,1108962,1301789,1149438
나혼자산다,MBC,예능,919663,857298,754426,1006713,778977,871841
무한도전,MBC,구작,665544,631863,660771,710092,726225,669911
런닝맨,SBS,예능,665764,609852,576634,664056,652048,646409
놀면뭐하니,MBC,예능,290854,344898,263215,382834,516224,459354
백종원의골목식당,SBS,예능,635737,364831,336045,355606,381574,374871
슈퍼맨이돌아왔다,KBS2,예능,252407,274170,274034,298290,362070,327977
미운우리새끼,SBS,예능,287716,289743,308778,301025,303538,320786
낭만닥터김사부,SBS,구작,804273,553681,444473,387077,403638,308669
그것이알고싶다,SBS,시사교양,375727,361411,197124,241504,284176,286953
전지적참견시점,MBC,예능,271104,236139,251722,266177,275305,284193
라디오스타,MBC,예능,398283,330253,267828,281106,316468,243523
동상이몽2_너는내운명,SBS,예능,202169,173651,198812,251207,237601,211797
일일드라마우아한모녀,KBS2,드라마,213691,185259,170506,184068,189836,211781
더게임0시를향하여,MBC,드라마,NA,NA,106343,176899,214256,185995
포레스트,KBS2,드라마,NA,NA,NA,145393,177386,181443
맛좀보실래요,SBS,드라마,139355,124509,137249,159305,164600,177614
거침없이하이킥,MBC,구작,125536,108678,105278,119354,138142,171383
